央视,#genre#
CCTV1,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv1
CCTV2,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv2
CCTV3,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv3
CCTV4,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv4
CCTV5,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv5
CCTV5+,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv5p
CCTV6,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv6
CCTV7,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv7
CCTV8,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv8
CCTV9,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv9
CCTV10,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv10
CCTV11,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv11
CCTV12,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv12
CCTV13,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv13
CCTV14,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv14
CCTV15,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv15
CCTV16,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv16
CCTV16-4k,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv16-4k
CCTV17,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv17
CCTV-4k,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv4k
CCTV-8k,http://sx.liuyun.wang:88/zb/ysapi.php?id=cctv8k
CCTV兵器科技,http://sx.liuyun.wang:88/zb/ysapi.php?id=bqkj
CCTV第一剧场,http://sx.liuyun.wang:88/zb/ysapi.php?id=dyjc
CCTV怀旧剧圿,http://sx.liuyun.wang:88/zb/ysapi.php?id=hjjc
CCTV风云剧场,http://sx.liuyun.wang:88/zb/ysapi.php?id=fyjc
CCTV风云音乐,http://sx.liuyun.wang:88/zb/ysapi.php?id=fyyy
CCTV风云足球,http://sx.liuyun.wang:88/zb/ysapi.php?id=fyzq
CCTV电视指南,http://sx.liuyun.wang:88/zb/ysapi.php?id=dszn
CCTV女性时尿,http://sx.liuyun.wang:88/zb/ysapi.php?id=nxss
CCTV央视文化精品,http://sx.liuyun.wang:88/zb/ysapi.php?id=whjp
CCTV世界地理,http://sx.liuyun.wang:88/zb/ysapi.php?id=sjdl
CCTV高尔夫网琿,http://sx.liuyun.wang:88/zb/ysapi.php?id=gefwq
CCTV央视台球,http://sx.liuyun.wang:88/zb/ysapi.php?id=ystq
CCTV卫生健康,http://sx.liuyun.wang:88/zb/ysapi.php?id=wsjk
CGTN,http://sx.liuyun.wang:88/zb/ysapi.php?id=cgtn
CGTN纪录,http://sx.liuyun.wang:88/zb/ysapi.php?id=cgtnjl
CGTN西语,http://sx.liuyun.wang:88/zb/ysapi.php?id=cgtne
CGTN法语,http://sx.liuyun.wang:88/zb/ysapi.php?id=cgtnf
CGTN阿语,http://sx.liuyun.wang:88/zb/ysapi.php?id=cgtna
CGTN俄语,http://sx.liuyun.wang:88/zb/ysapi.php?id=cgtnr

卫视,#genre#
北京卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=bjws
东方卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=dfws
天津卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=tjws
重庆卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=cqws
黑龙江卫觿,http://sx.liuyun.wang:88/zb/ysapi.php?id=hljws
辽宁卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=lnws
河北卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=hbws
山东卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=sdws
安徽卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=ahws
河南卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=hnws
湖北卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=hubws
湖南卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=hunws
江西卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=jxws
江苏卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=jsws
浙江卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=zjws
东南卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=dnws
广东卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=gdws
深圳卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=szws
广西卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=gxws
贵州卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=gzws
四川卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=scws
新疆卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=xjws
海南卫视,http://sx.liuyun.wang:88/zb/ysapi.php?id=hinws

咪咕代理,#genre#
CCTV-1HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv1
CCTV-1HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv1b
CCTV-2HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv2
CCTV-3HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv3
CCTV-4HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv4
CCTV-4欧洲,http://sx.liuyun.wang:88/zb/migu.php?id=cctv4o
CCTV-4美洲,http://sx.liuyun.wang:88/zb/migu.php?id=cctv4a
CCTV-5HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv5
CCTV-5HD2,http://sx.liuyun.wang:88/zb/migu.php?id=cctv5b
CCTV-5+HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv5p
CCTV-5+HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv5p2
CCTV-6HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv6
CCTV-7HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv7
CCTV-8HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv8
CCTV-9HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv9
CCTV-10HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv10
CCTV-11HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv11
CCTV-12HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv12
CCTV-13HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv13
CCTV-14HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv14
CCTV-15HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv15
CCTV-17HD,http://sx.liuyun.wang:88/zb/migu.php?id=cctv17
CGTN西语,http://sx.liuyun.wang:88/zb/migu.php?id=cgtne
CGTN阿语,http://sx.liuyun.wang:88/zb/migu.php?id=cgtna
CHC家庭影院,http://sx.liuyun.wang:88/zb/migu.php?id=chcjtyy
东方卫视HD,http://sx.liuyun.wang:88/zb/migu.php?id=dfws
东方卫视HD2,http://sx.liuyun.wang:88/zb/migu.php?id=dfws2
重庆卫视,http://sx.liuyun.wang:88/zb/migu.php?id=cqws
吉林卫视,http://sx.liuyun.wang:88/zb/migu.php?id=jlws
辽宁卫视HD,http://sx.liuyun.wang:88/zb/migu.php?id=lnws
内蒙古卫觿,http://sx.liuyun.wang:88/zb/migu.php?id=nmws
宁夏卫视,http://sx.liuyun.wang:88/zb/migu.php?id=nxws
甘肃卫视,http://sx.liuyun.wang:88/zb/migu.php?id=gsws
青海卫视,http://sx.liuyun.wang:88/zb/migu.php?id=qhws
江西卫视HD,http://sx.liuyun.wang:88/zb/migu.php?id=jxws
陕西卫视FHD,http://sx.liuyun.wang:88/zb/migu.php?id=sxwsb
山东卫视HD,http://sx.liuyun.wang:88/zb/migu.php?id=sdws
湖北卫视HD,http://sx.liuyun.wang:88/zb/migu.php?id=hubws
湖南卫视HD,http://sx.liuyun.wang:88/zb/migu.php?id=hunws
江苏卫视HD,http://sx.liuyun.wang:88/zb/migu.php?id=jsws
广东卫视HD,,http://sx.liuyun.wang:88/zb/migu.php?id=gdws
广东卫视HD2,,http://sx.liuyun.wang:88/zb/migu.php?id=gdws2
大湾区卫觿,http://sx.liuyun.wang:88/zb/migu.php?id=dwqws
新疆卫视,http://sx.liuyun.wang:88/zb/migu.php?id=xjws
西藏卫视,http://sx.liuyun.wang:88/zb/migu.php?id=xzws
海南卫视,http://sx.liuyun.wang:88/zb/migu.php?id=hinws
老故事SD,http://sx.liuyun.wang:88/zb/migu.php?id=lgs
中学生HD,http://sx.liuyun.wang:88/zb/migu.php?id=zxs
发现之旅HD,http://sx.liuyun.wang:88/zb/migu.php?id=fxzl
赛事最经典HD,http://sx.liuyun.wang:88/zb/migu.php?id=ssjd
掼蛋精英赛HD,http://sx.liuyun.wang:88/zb/migu.php?id=gdjys
Y+$FHD,http://sx.liuyun.wang:88/zb/migu.php?id=yplus
